Date,Close,High,Low,Open,Volume
9/21/2016,12.12080002,12.12080002,11.93607135,11.97171973,1079200
9/22/2016,12.18561172,12.2439472,12.12079563,12.12079563,1177200
9/23/2016,12.23099136,12.24395385,12.08191104,12.14024655,1349300
9/26/2016,12.08839226,12.23747133,12.04302047,12.17913706,1448000
9/27/2016,12.00412846,12.10135387,11.95875668,12.08190829,944100
9/28/2016,12.07542324,12.12079624,11.95875352,12.02356962,689600
9/29/2016,12.03653622,12.09487171,12.00412816,12.06894551,744900
9/30/2016,12.06260014,12.12125145,11.91923095,12.09518365,1042300
10/3/2016,12.01698971,12.05609019,11.93552964,12.03002237,1204500
10/4/2016,11.90620708,12.03654248,11.81497094,12.00395894,1116500
10/5/2016,11.84103489,11.95833758,11.76934964,11.92575281,1530600
10/6/2016,11.92575359,11.94530446,11.67811553,11.77586736,1342400
10/7/2016,11.87362385,12.02351138,11.78890589,11.91924255,861600
10/10/2016,12.0104723,12.01373015,11.87361874,11.8801357,650100
10/11/2016,11.91271687,12.01372652,11.74002073,11.96485124,1092000
10/12/2016,11.96485233,12.02350367,11.86384143,11.91271795,728600
10/13/2016,12.05609131,12.08215913,11.89317116,11.95833947,1044900
10/14/2016,11.98440838,12.08216148,11.96485875,12.04305974,641600
10/17/2016,11.92575359,12.01047276,11.88665311,11.97137228,601600
10/18/2016,11.99743748,12.02350529,11.8931687,11.94530309,901200
10/19/2016,12.0104723,12.05608974,11.93227009,11.99092143,846000
10/20/2016,11.88013268,12.04305277,11.76934696,12.03653581,574300
10/21/2016,11.86058807,11.86058807,11.78238585,11.83452025,647900
10/24/2016,11.91923904,11.99744002,11.86058769,11.89317122,695700
10/25/2016,11.82148361,11.9387863,11.79541704,11.90620277,513300
10/26/2016,11.71721649,11.84103615,11.67811601,11.80193566,640000
10/27/2016,11.61294937,11.70418427,11.50216361,11.67811769,775600
10/28/2016,11.61946297,11.68463126,11.56732858,11.63249687,520000
10/31/2016,11.81606674,11.82262045,11.59979936,11.67188765,841300
11/1/2016,11.65223217,11.83573108,11.54082158,11.78330264,657300
11/2/2016,11.58014011,11.71121181,11.55064904,11.64567596,655000
11/3/2016,11.45562744,11.62602022,11.44252002,11.59980662,690100
11/4/2016,11.59980488,11.63257219,11.4425183,11.44907201,459800
11/7/2016,11.73742294,11.81606619,11.64567353,11.69810194,806500
11/8/2016,11.67189312,11.71776785,11.51460779,11.71776785,959700
11/9/2016,11.54737282,11.61290742,11.4031937,11.50805056,1246700
11/10/2016,11.43596268,11.55720319,11.3507657,11.53426583,1398300
11/11/2016,11.48839188,11.55392648,11.37042759,11.39664118,1239700
11/14/2016,11.9012661,11.92748094,11.5014985,11.64567763,2784700
11/15/2016,11.65878487,11.96024805,11.48839214,11.92748075,1780100
11/16/2016,11.61291027,11.7767493,11.5998041,11.68499985,1260500
11/17/2016,11.64567566,11.78329981,11.58013981,11.64567566,1269600
11/18/2016,11.65878487,11.72431947,11.62601631,11.67844475,1059400
11/21/2016,11.67844582,11.7570891,11.63257109,11.6391248,1410900
11/22/2016,11.8881588,11.90126622,11.63257033,11.63257033,894100
11/23/2016,11.92748356,11.92748356,11.77019697,11.91437613,967900
11/25/2016,12.02578163,12.04871899,11.91437107,11.92747849,470700
11/28/2016,11.96680546,12.12409081,11.96025175,12.05855493,1030200
11/29/2016,12.31414127,12.32724745,12.02578425,12.1175337,2172300
11/30/2016,12.1494236,12.40637955,12.03873394,12.31413921,2776800
12/1/2016,12.48544693,12.48544693,12.05718523,12.14942685,2468800
12/2/2016,12.61721802,12.62380679,12.24825533,12.25484411,3715100
12/5/2016,12.80169582,12.82804966,12.57109375,12.62380269,3835200
12/6/2016,12.89394093,12.97300499,12.72922528,12.78193423,3172200
12/7/2016,13.0059433,13.03691041,12.8675828,12.88734787,1836900
12/8/2016,12.95981979,13.03888381,12.88734455,12.9927624,1248000
12/9/2016,12.99936199,13.03559964,12.91436889,12.97959691,1727100
12/12/2016,12.99936199,13.04548218,12.90712161,12.95983058,1572900
12/13/2016,12.97300243,13.02571138,12.90711594,12.9927675,1664700
12/14/2016,12.87417126,13.07182946,12.86099371,12.96641159,1658700
12/15/2016,12.8148756,12.9202935,12.70945771,12.88076084,1418400
12/16/2016,12.88075829,12.96641109,12.80828428,12.81487306,4697900
12/19/2016,12.97958851,13.01253112,12.88075815,12.88075815,1169100
12/20/2016,12.96641445,13.07842113,12.85440777,12.9532369,1091300
12/21/2016,12.95323372,13.03888653,12.9202911,12.95323372,1146500
